pair,her_age,her_field,her_race,her_racepref,her_religpref,her_income,her_goal,her_datefreq,her_outfreq,her_optimism,her_wantattr,her_wantsinc,her_wantintel,her_wantfun,her_wantamb,her_wantshar,her_selfattr,her_selfsinc,her_selffun,her_selfintel,her_selfamb,his_age,his_field,his_race,his_racepref,his_religpref,his_income,his_goal,his_datefreq,his_outfreq,his_optimism,his_wantattr,his_wantsinc,his_wantintel,his_wantfun,his_wantamb,his_wantshar,his_selfattr,his_selfsinc,his_selffun,his_selfintel,his_selfamb,her_dec,his_dec,wave,samerace,interests,match,her_noincome,his_noincome,agegap,agediff,her_fit,his_fit,passions,samefield,samecareer,samegoal,outgap,dategap,racepref_max,religpref_max,fold
"(1, 11)",21.0,1.0,4.0,2.0,4.0,69487.0,2.0,7.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,27.0,8.0,2.0,7.0,3.0,,1.0,5.0,4.0,7.0,35.0,20.0,20.0,20.0,0.0,5.0,8.0,9.0,7.0,8.0,5.0,1,0,1,0,0.14,0,0,1,6.0,-6.0,6.4,6.9,3,0,0,0,3.0,2.0,7.0,4.0,1
"(1, 12)",21.0,1.0,4.0,2.0,4.0,69487.0,2.0,7.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,22.0,1.0,2.0,1.0,1.0,29237.0,1.0,1.0,1.0,7.0,60.0,0.0,0.0,40.0,0.0,0.0,9.0,9.0,9.0,10.0,9.0,1,0,1,0,0.54,0,0,0,1.0,-1.0,7.85,6.8,4,1,0,0,0.0,6.0,2.0,4.0,1
"(1, 13)",21.0,1.0,4.0,2.0,4.0,69487.0,2.0,7.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,22.0,1.0,4.0,3.0,5.0,,2.0,7.0,1.0,3.0,19.0,18.0,19.0,18.0,14.0,12.0,4.0,7.0,8.0,8.0,3.0,1,1,1,1,0.16,1,0,1,1.0,-1.0,5.25,6.52,6,1,0,1,0.0,0.0,3.0,5.0,1
"(1, 14)",21.0,1.0,4.0,2.0,4.0,69487.0,2.0,7.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,23.0,1.0,2.0,1.0,1.0,56580.0,2.0,4.0,1.0,8.0,30.0,5.0,15.0,40.0,5.0,5.0,9.0,9.0,9.0,9.0,9.0,1,1,1,0,0.61,1,0,0,2.0,-2.0,7.65,6.95,5,1,0,1,0.0,3.0,2.0,4.0,1
"(1, 15)",21.0,1.0,4.0,2.0,4.0,69487.0,2.0,7.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,24.0,1.0,3.0,3.0,1.0,36782.0,1.0,4.0,1.0,5.0,30.0,10.0,20.0,10.0,10.0,20.0,7.0,7.0,7.0,9.0,9.0,1,1,1,0,0.21,1,0,0,3.0,-3.0,6.65,5.7,3,1,0,0,0.0,3.0,3.0,4.0,1
"(1, 16)",21.0,1.0,4.0,2.0,4.0,69487.0,2.0,7.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,25.0,8.0,2.0,9.0,2.0,,1.0,5.0,1.0,7.0,50.0,0.0,30.0,10.0,0.0,10.0,6.0,6.0,8.0,8.0,6.0,0,1,1,0,0.25,0,0,1,4.0,-4.0,5.8,6.2,2,0,0,0,0.0,2.0,9.0,4.0,1
"(1, 17)",21.0,1.0,4.0,2.0,4.0,69487.0,2.0,7.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,30.0,13.0,2.0,1.0,1.0,38548.0,3.0,3.0,2.0,4.0,35.0,15.0,25.0,10.0,5.0,10.0,7.0,7.0,6.0,8.0,4.0,1,0,1,0,0.34,0,0,0,9.0,-9.0,5.55,6.45,3,0,0,0,1.0,4.0,2.0,4.0,1
"(1, 18)",21.0,1.0,4.0,2.0,4.0,69487.0,2.0,7.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,27.0,8.0,2.0,8.0,8.0,52010.0,1.0,6.0,1.0,5.0,33.33,11.11,11.11,11.11,11.11,22.22,6.0,8.0,6.0,8.0,9.0,0,0,1,0,0.5,0,0,0,6.0,-6.0,6.35,5.4439,3,0,0,0,0.0,1.0,8.0,8.0,1
"(1, 19)",21.0,1.0,4.0,2.0,4.0,69487.0,2.0,7.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,28.0,8.0,2.0,1.0,1.0,,4.0,1.0,1.0,10.0,50.0,0.0,25.0,10.0,0.0,15.0,10.0,6.0,10.0,10.0,10.0,1,1,1,0,0.28,1,0,1,7.0,-7.0,7.7,5.8,3,0,0,0,0.0,6.0,2.0,4.0,1
"(1, 20)",21.0,1.0,4.0,2.0,4.0,69487.0,2.0,7.0,1.0,3.0,15.0,20.0,20.0,15.0,15.0,15.0,6.0,8.0,8.0,8.0,7.0,24.0,8.0,2.0,1.0,1.0,,1.0,1.0,1.0,6.0,100.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,10.0,10.0,10.0,1,0,1,0,-0.36,0,0,1,3.0,-3.0,7.45,6.0,4,0,0,0,0.0,6.0,2.0,4.0,1
