pair,w_age,w_field,w_field_cd,w_undergra,w_mn_sat,w_tuition,w_race,w_imprace,w_imprelig,w_from,w_zipcode,w_income,w_goal,w_date,w_go_out,w_career,w_career_c,w_sports,w_tvsports,w_exercise,w_dining,w_museums,w_art,w_hiking,w_gaming,w_clubbing,w_reading,w_tv,w_theater,w_movies,w_concerts,w_music,w_shopping,w_yoga,w_exphappy,w_expnum,w_attr1_1,w_sinc1_1,w_intel1_1,w_fun1_1,w_amb1_1,w_shar1_1,w_attr4_1,w_sinc4_1,w_intel4_1,w_fun4_1,w_amb4_1,w_shar4_1,w_attr2_1,w_sinc2_1,w_intel2_1,w_fun2_1,w_amb2_1,w_shar2_1,w_attr3_1,w_sinc3_1,w_fun3_1,w_intel3_1,w_amb3_1,w_attr5_1,w_sinc5_1,w_intel5_1,w_fun5_1,w_amb5_1,w_order,w_round,m_age,m_field,m_field_cd,m_undergra,m_mn_sat,m_tuition,m_race,m_imprace,m_imprelig,m_from,m_zipcode,m_income,m_goal,m_date,m_go_out,m_career,m_career_c,m_sports,m_tvsports,m_exercise,m_dining,m_museums,m_art,m_hiking,m_gaming,m_clubbing,m_reading,m_tv,m_theater,m_movies,m_concerts,m_music,m_shopping,m_yoga,m_exphappy,m_expnum,m_attr1_1,m_sinc1_1,m_intel1_1,m_fun1_1,m_amb1_1,m_shar1_1,m_attr4_1,m_sinc4_1,m_intel4_1,m_fun4_1,m_amb4_1,m_shar4_1,m_attr2_1,m_sinc2_1,m_intel2_1,m_fun2_1,m_amb2_1,m_shar2_1,m_attr3_1,m_sinc3_1,m_fun3_1,m_intel3_1,m_amb3_1,m_attr5_1,m_sinc5_1,m_intel5_1,m_fun5_1,m_amb5_1,m_order,m_round,wave,position,samerace,int_corr,match
"(1, 11)",21.0,Law,1.0,,,,4.0,2.0,4.0,Chicago,"60,521",69487.0,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,,,,,,4,10,27.0,Finance,8.0,,,,2.0,7.0,3.0,Argentina,0,,1.0,5.0,4.0,"Academia, Research, Banking, Life",2.0,8.0,7.0,2.0,6.0,7.0,5.0,5.0,5.0,4.0,9.0,2.0,4.0,8.0,7.0,8.0,5.0,1.0,7.0,3.0,35.0,20.0,20.0,20.0,0.0,5.0,,,,,,,25.0,5.0,20.0,20.0,25.0,5.0,8.0,9.0,7.0,8.0,5.0,,,,,,4,10,1,7,0,0.14,0
"(1, 12)",21.0,Law,1.0,,,,4.0,2.0,4.0,Chicago,"60,521",69487.0,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,,,,,,3,10,22.0,Law,1.0,,,,2.0,1.0,1.0,England,"14,850",29237.0,1.0,1.0,1.0,Corporate Lawyer,1.0,9.0,7.0,9.0,8.0,7.0,6.0,3.0,3.0,5.0,6.0,6.0,4.0,7.0,7.0,9.0,5.0,5.0,7.0,20.0,60.0,0.0,0.0,40.0,0.0,0.0,,,,,,,25.0,15.0,25.0,20.0,15.0,0.0,9.0,9.0,9.0,10.0,9.0,,,,,,3,10,1,7,0,0.54,0
"(1, 13)",21.0,Law,1.0,,,,4.0,2.0,4.0,Chicago,"60,521",69487.0,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,,,,,,10,10,22.0,Law,1.0,,,,4.0,3.0,5.0,Southern California,"92,821",,2.0,7.0,1.0,Lawyer,1.0,7.0,8.0,2.0,9.0,5.0,6.0,4.0,7.0,7.0,6.0,8.0,10.0,8.0,9.0,9.0,8.0,1.0,3.0,4.0,19.0,18.0,19.0,18.0,14.0,12.0,,,,,,,20.0,16.0,16.0,18.0,16.0,14.0,4.0,7.0,8.0,8.0,3.0,,,,,,10,10,1,7,1,0.16,1
"(1, 14)",21.0,Law,1.0,,,,4.0,2.0,4.0,Chicago,"60,521",69487.0,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,,,,,,5,10,23.0,Law,1.0,,,,2.0,1.0,1.0,"Cincinnati, Ohio","45,243",56580.0,2.0,4.0,1.0,Corporate attorney,1.0,10.0,6.0,8.0,8.0,3.0,3.0,10.0,8.0,8.0,6.0,7.0,3.0,10.0,6.0,8.0,6.0,1.0,8.0,15.0,30.0,5.0,15.0,40.0,5.0,5.0,,,,,,,20.0,15.0,20.0,20.0,5.0,20.0,9.0,9.0,9.0,9.0,9.0,,,,,,5,10,1,7,0,0.61,1
"(1, 15)",21.0,Law,1.0,,,,4.0,2.0,4.0,Chicago,"60,521",69487.0,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,,,,,,7,10,24.0,Law,1.0,,,,3.0,3.0,1.0,Miami,"33,183",36782.0,1.0,4.0,1.0,Lawyer,1.0,9.0,7.0,9.0,7.0,4.0,3.0,6.0,7.0,9.0,8.0,6.0,9.0,9.0,6.0,7.0,2.0,1.0,5.0,9.0,30.0,10.0,20.0,10.0,10.0,20.0,,,,,,,20.0,20.0,20.0,20.0,10.0,10.0,7.0,7.0,7.0,9.0,9.0,,,,,,7,10,1,7,0,0.21,1
"(1, 16)",21.0,Law,1.0,,,,4.0,2.0,4.0,Chicago,"60,521",69487.0,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,,,,,,6,10,25.0,Business,8.0,,,,2.0,9.0,2.0,Milan - Italy,"26,900",,1.0,5.0,1.0,research/financial industry,7.0,7.0,2.0,6.0,7.0,7.0,7.0,5.0,5.0,5.0,8.0,3.0,7.0,8.0,7.0,8.0,6.0,1.0,7.0,10.0,50.0,0.0,30.0,10.0,0.0,10.0,,,,,,,50.0,5.0,30.0,5.0,5.0,5.0,6.0,6.0,8.0,8.0,6.0,,,,,,6,10,1,7,0,0.25,0
"(1, 17)",21.0,Law,1.0,,,,4.0,2.0,4.0,Chicago,"60,521",69487.0,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,,,,,,1,10,30.0,political science,13.0,,,,2.0,1.0,1.0,"Georgia, USA","30,677",38548.0,3.0,3.0,2.0,academics or journalism,2.0,8.0,2.0,9.0,7.0,7.0,5.0,4.0,2.0,6.0,4.0,2.0,7.0,9.0,7.0,7.0,2.0,2.0,4.0,2.0,35.0,15.0,25.0,10.0,5.0,10.0,,,,,,,25.0,20.0,20.0,20.0,10.0,5.0,7.0,7.0,6.0,8.0,4.0,,,,,,1,10,1,7,0,0.34,0
"(1, 18)",21.0,Law,1.0,,,,4.0,2.0,4.0,Chicago,"60,521",69487.0,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,,,,,,2,10,27.0,Business,8.0,,,,2.0,8.0,8.0,New York,"10,028",52010.0,1.0,6.0,1.0,Financial Services,7.0,5.0,5.0,5.0,9.0,4.0,3.0,4.0,4.0,2.0,6.0,9.0,3.0,9.0,3.0,6.0,2.0,1.0,5.0,2.0,33.33,11.11,11.11,11.11,11.11,22.22,,,,,,,10.0,10.0,20.0,25.0,25.0,10.0,6.0,8.0,6.0,8.0,9.0,,,,,,2,10,1,7,0,0.5,0
"(1, 19)",21.0,Law,1.0,,,,4.0,2.0,4.0,Chicago,"60,521",69487.0,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,,,,,,8,10,28.0,money,8.0,,,,2.0,1.0,1.0,california,"2,467",,4.0,1.0,1.0,ceo,7.0,10.0,10.0,10.0,10.0,5.0,5.0,6.0,7.0,9.0,8.0,1.0,1.0,7.0,7.0,7.0,7.0,10.0,10.0,20.0,50.0,0.0,25.0,10.0,0.0,15.0,,,,,,,40.0,15.0,20.0,10.0,10.0,5.0,10.0,6.0,10.0,10.0,10.0,,,,,,8,10,1,7,0,0.28,1
"(1, 20)",21.0,Law,1.0,,,,4.0,2.0,4.0,Chicago,"60,521",69487.0,2.0,7.0,1.0,lawyer,,9.0,2.0,8.0,9.0,1.0,1.0,5.0,1.0,5.0,6.0,9.0,1.0,10.0,10.0,9.0,8.0,1.0,3.0,2.0,15.0,20.0,20.0,15.0,15.0,15.0,,,,,,,35.0,20.0,15.0,20.0,5.0,5.0,6.0,8.0,8.0,8.0,7.0,,,,,,9,10,24.0,Finance,8.0,,,,2.0,1.0,1.0,Washington DC,"3,031",,1.0,1.0,1.0,CEO,7.0,10.0,10.0,10.0,10.0,9.0,9.0,4.0,10.0,10.0,8.0,3.0,8.0,8.0,6.0,6.0,5.0,10.0,6.0,19.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,,,,50.0,10.0,10.0,10.0,10.0,10.0,7.0,7.0,10.0,10.0,10.0,,,,,,9,10,1,7,0,-0.36,0
