pair,tabpfn,tabpfn_direct,tabpfn_her,tabpfn_his
"(1, 11)",0.09466498029340187,0.11033080518245697,0.3041386604309082,0.3112559914588928
"(1, 12)",0.27463056127453456,0.3356154263019562,0.57940673828125,0.47398579120635986
"(1, 13)",0.20788211900935494,0.13780848681926727,0.3926043212413788,0.5294952392578125
"(1, 14)",0.267701022642278,0.30138522386550903,0.6425328850746155,0.4166339635848999
"(1, 15)",0.25671886722818016,0.20975559949874878,0.5219571590423584,0.4918389618396759
"(1, 16)",0.14244149474881596,0.16706497967243195,0.4728100299835205,0.30126580595970154
"(1, 17)",0.19252550233356036,0.12122975289821625,0.45750871300697327,0.4208127558231354
"(1, 18)",0.12086913576164804,0.12963011860847473,0.3766285181045532,0.3209240138530731
"(1, 19)",0.24295724167651933,0.20545600354671478,0.5295533537864685,0.45879653096199036
"(1, 20)",0.2913183711472449,0.28883039951324463,0.5573930144309998,0.5226444602012634
"(2, 11)",0.17381862929717684,0.17550158500671387,0.3568969964981079,0.48702743649482727
"(2, 12)",0.286118033417182,0.38165417313575745,0.5097508430480957,0.5612899661064148
"(2, 13)",0.17371715239254648,0.1750349998474121,0.3025316298007965,0.5742115378379822
"(2, 14)",0.321667523441036,0.3615933060646057,0.5924832820892334,0.542914092540741
"(2, 15)",0.2900046752613221,0.2919108271598816,0.48603856563568115,0.5966700911521912
"(2, 16)",0.25155672104413895,0.2496839314699173,0.5065639019012451,0.49659425020217896
"(2, 17)",0.21027056578351733,0.1796535700559616,0.408375084400177,0.5148956775665283
"(2, 18)",0.22560503691734013,0.22067788243293762,0.41106584668159485,0.5488294363021851
"(2, 19)",0.2881008180702338,0.3151639699935913,0.5241221189498901,0.5496826171875
"(2, 20)",0.3262725112918936,0.37009772658348083,0.520780622959137,0.6265066266059875
"(3, 11)",0.15153634974271313,0.1673564314842224,0.27688777446746826,0.5472843647003174
"(3, 12)",0.2625861516681738,0.3518492579460144,0.447109580039978,0.5872970819473267
"(3, 13)",0.08480917790601517,0.10374541580677032,0.17069050669670105,0.4968593716621399
"(3, 14)",0.28388519390115974,0.3056478500366211,0.4920608103275299,0.5769311189651489
