group,fold,drop
age,0,0.0067858417985396935
field,0,0.007478318706378384
race,0,0.022284511551839414
racepref,0,0.0003073676087809174
religpref,0,-0.0014029495773154599
income,0,-0.000732067583442686
goal,0,0.000369273028816397
datefreq,0,0.00787566512335025
outfreq,0,0.0002526604934006693
optimism,0,0.004982666482390208
wantattr,0,0.009398826388409165
wantsinc,0,-0.0015584329578696154
wantintel,0,-0.004246999746619573
wantfun,0,0.0034775009789694833
wantamb,0,-0.00020011286941690187
wantshar,0,0.023322507083131883
selfattr,0,0.0009840082463778987
selfsinc,0,9.861677377753786e-05
selffun,0,0.00018859558196870907
selfintel,0,0.004606195148918579
selfamb,0,0.0025114884942299964
samerace,0,-0.0004383767535068861
interests,0,8.565982539798789e-05
noincome,0,0.004108072466772805
agegap,0,0.002982977449151325
fit,0,-0.005468552046621888
passions,0,0.00016556100707176835
samefield,0,0.0028145371202176195
samecareer,0,0.00043189827931733316
outgap,0,-0.0013360053440212294
dategap,0,-4.606914979365939e-05
racepref_max,0,0.0015728295671805226
religpref_max,0,-0.0009984048556882508
raceclash,0,0.0077338585216411015
fitmin,0,0.002492772902126128
olderwoman,0,-0.0017679036233385625
female,0,0.011524485753115488
age,1,0.004441502538289233
field,1,-0.0012983473260355094
race,1,0.014248925540385038
racepref,1,0.0020690312610349704
religpref,1,-0.0009170333233529115
income,1,0.007900181661213312
goal,1,0.004547572278472023
datefreq,1,0.005541808260818848
outfreq,1,0.008336544516395872
optimism,1,0.0035070147007290053
wantattr,1,-0.0027618412095710143
wantsinc,1,-0.0040521326059723695
wantintel,1,0.001033172975578478
wantfun,1,-0.0030236589226805277
wantamb,1,-0.002079772500547139
wantshar,1,0.011048707493222953
selfattr,1,-0.0005021529471946895
selfsinc,1,-0.00013627947631078552
selffun,1,0.004628131574813454
selfintel,1,0.012277236762429311
selfamb,1,-0.0012325572340233792
samerace,1,0.00086198447085295
interests,1,0.0008317747347249549
noincome,1,0.0003699014357009256
agegap,1,0.00265711412432712
fit,1,-0.0009210612881699332
passions,1,-0.002228807198778715
samefield,1,0.004484467496337907
samecareer,1,-0.001095606430242979
outgap,1,0.002079772500547139
dategap,1,-0.0005612297645117836
racepref_max,1,-0.0015212280459134808
religpref_max,1,0.0015829901731084783
raceclash,1,0.0017964723084132883
fitmin,1,0.00013560814884139294
olderwoman,1,0.0004095097564021932
female,1,0.02643687574936937
age,2,0.005527949748379779
field,2,0.0012633805196529124
race,2,0.005326563122262096
racepref,2,0.00618038207643945
religpref,2,-0.011321397970143532
income,2,-0.010233759337702097
goal,2,-0.0027364444927169274
datefreq,2,0.008304369863509686
outfreq,2,0.0017385624464477667
optimism,2,0.0042856884254733885
wantattr,2,0.004199703124434295
wantsinc,2,0.0036694604346934057
wantintel,2,0.0011351568251209976
wantfun,2,-0.0008070550185245162
wantamb,2,0.0008296827293242659
wantshar,2,0.016379445590915198
selfattr,2,0.006139652196999745
selfsinc,2,-0.003208609391405104
selffun,2,0.009242665604672795
selfintel,2,0.012175216924320886
selfamb,2,0.00011615558210542609
samerace,2,-0.0009473468254829198
interests,2,-0.0017717497556207773
noincome,2,0.0009775171065493637
agegap,2,-0.0009563979098029529
fit,2,-0.0017144262215947892
passions,2,0.0008628700384972765
samefield,2,9.428212833240135e-05
samecareer,2,0.0008523104401241266
outgap,2,0.0028526000748222424
dategap,2,0.00019082702774464444
racepref_max,2,-3.469582322623843e-05
religpref_max,2,-0.002710045496783886
raceclash,2,0.0008455221268841573
fitmin,2,0.0015145481095302227
olderwoman,2,0.0019844502371383355
female,2,0.010917116203854493
age,3,0.015301853858191938
field,3,0.005212471409654418
race,3,0.029268990008426643
racepref,3,0.009555194414349488
religpref,3,0.0017078969543758982
income,3,0.003954496208017355
goal,3,0.006921873119056232
datefreq,3,-0.004544360178162954
outfreq,3,0.005477308294209671
optimism,3,0.009464156735283558
wantattr,3,0.005951306127362499
wantsinc,3,0.0023775129408932782
wantintel,3,0.0011857469603948623
wantfun,3,0.0012895750571806364
wantamb,3,-0.0019065246177920603
wantshar,3,0.015550138437462335
selfattr,3,0.020424039966293384
selfsinc,3,0.0031359094739377147
selffun,3,-0.0007042253521127861
selfintel,3,-0.002050981100276905
selfamb,3,-0.008930721078608372
samerace,3,-0.0017304682797640858
interests,3,-0.0002813891898398868
noincome,3,0.004517274587697129
agegap,3,0.0030666907427470136
fit,3,0.0013542795232937
passions,3,0.0028244251835802814
samefield,3,0.0038386300710244736
samecareer,3,0.0006034067653786224
outgap,3,0.002428674611773207
dategap,3,0.000257313109425672
racepref_max,3,-0.00016251354279539498
religpref_max,3,0.002007343204526335
raceclash,3,0.007957144576862807
fitmin,3,-0.00018207535813175024
olderwoman,3,0.0014084507042253502
female,3,0.037686589623209255
age,4,-0.0005191512574308499
field,4,-0.001727921349359396
race,4,0.024638763707142908
racepref,4,0.007914344691639541
religpref,4,-0.0008724840535331291
income,4,-0.0031629484072129843
goal,4,0.004396513783078482
datefreq,4,0.0042833853001158495
outfreq,4,0.005411570719249137
optimism,4,0.003395404194122209
wantattr,4,0.0002944439967517143
wantsinc,4,-0.0005268997836612721
wantintel,4,0.0011188871876568474
wantfun,4,-0.006645136095114745
wantamb,4,-0.0005501453623520947
wantshar,4,0.012134192076666994
selfattr,4,-0.00033318662790338127
selfsinc,4,-0.0024795283936995816
selffun,4,0.0017310207598514316
selfintel,4,0.004286484710607996
selfamb,4,-0.0017310207598515426
samerace,4,0.0003316369226572524
interests,4,9.143260951771648e-05
noincome,4,-0.000977864010265339
agegap,4,0.00015497052460611282
fit,4,-0.0018735936424891797
passions,4,-0.0017217225283752136
samefield,4,0.0013033021119381871
samecareer,4,-8.83331990255698e-05
outgap,4,0.001208770091928435
dategap,4,-9.298231476384533e-05
racepref_max,4,-0.0006105838669485664
religpref_max,4,0.0001906137452655221
raceclash,4,0.007762473577525575
fitmin,4,-0.00032853751216521676
olderwoman,4,-0.00014179803001479474
female,4,0.00915565859373546
