shown,model,match rate,95% CI,lift over random,"matches per 1,000 shown","extra matches per 1,000",extra matches over the catalogue
top 5%,logit,0.319,"[0.255, 0.376]",1.93,319,154,32
top 5%,xgboost,0.29,"[0.219, 0.341]",1.76,290,126,26
top 5%,logit_direct,0.252,"[0.199, 0.311]",1.53,252,87,18
top 5%,xgboost_direct,0.233,"[0.171, 0.288]",1.41,233,68,14
top 10%,logit,0.298,"[0.249, 0.337]",1.81,298,133,56
top 10%,xgboost,0.286,"[0.236, 0.331]",1.74,286,121,51
top 10%,logit_direct,0.236,"[0.191, 0.272]",1.43,236,71,30
top 10%,xgboost_direct,0.232,"[0.188, 0.270]",1.4,232,67,28
top 20%,logit,0.235,"[0.205, 0.265]",1.43,235,70,59
top 20%,xgboost,0.234,"[0.202, 0.261]",1.42,234,69,58
top 20%,logit_direct,0.208,"[0.181, 0.234]",1.26,208,43,36
top 20%,xgboost_direct,0.219,"[0.192, 0.246]",1.33,219,54,45
