,Coefficient,Std. Error,P-value,Odds Ratio,Marginal Effect (%),Step
female,-0.31415967348891727,0.03652896312898264,7.951497187867677e-18,0.7304023929495015,-13.744665669625084,0 to 1
self_race=Black,0.11239869695748379,0.025937345562147527,1.4677759648449168e-05,1.118958897230297,11.40345656102027,0 to 1
self_goal=rare,-0.04968920605964143,0.02603087841623244,0.05628063270351381,0.951525106787491,-10.684675552193848,0 to 1
other_field=social work,-0.11454342974838586,0.02809044530159717,4.549021737932116e-05,0.8917732080910625,-10.41407118302667,0 to 1
self_field=social science,0.10227904843736269,0.029727749933675086,0.0005805881261346555,1.1076925284741759,8.168292668380666,0 to 1
self_goal=relationship,0.06682754696241894,0.02544844033795886,0.008639538953477015,1.0691110908208539,7.949793314224306,0 to 1
other_field=education,-0.09561862607510256,0.029743648649946233,0.001305546320512185,0.9088105466308025,-7.717084600816902,0 to 1
self_field=education,0.08316118863009277,0.029946720457210394,0.005486799319219299,1.086716960849797,6.9692837842144755,0 to 1
other_goal=rare,0.029314034040929627,0.05121125730251976,0.5670416206675399,1.0297479196052577,6.694167111075232,0 to 1
samefield,0.0913969301538203,0.026034663349204217,0.0004471197981247577,1.0957038368463727,6.324203161945709,0 to 1
self_race=White,-0.13868998925385473,0.030934846054051324,7.349978230785482e-06,0.8704978503203479,-6.1226503227708,0 to 1
other_field=social science,-0.07450020682687893,0.029324786722396832,0.011068776648173687,0.9282072820807483,-5.7726582627909195,0 to 1
other_race=rare,0.02190372498340192,0.05184632746118334,0.6726790796139384,1.0221453726704959,5.587278183093604,0 to 1
other_field=business,0.10314083226632019,0.03490034963518269,0.0031237011037627237,1.108647531426618,5.380124363661882,0 to 1
other_race=Asian,-0.10182683666095974,0.03984387958750608,0.010599099962467896,0.9031859368209926,-5.192752147260607,0 to 1
other_field=engineering,-0.06849542638076751,0.03156519044447523,0.030009334532865375,0.9337977309290176,-4.859782028895661,0 to 1
other_race=Latino,0.058112868587415586,0.030511713814435352,0.05683098466698567,1.0598346109951937,4.727902777780627,0 to 1
self_field=politics,-0.060551133878335904,0.030627563848873877,0.04804000578793717,0.9412456382479093,-4.670979050275452,0 to 1
self_race=Other,0.04958791558477472,0.025736381501688433,0.05400913398547658,1.0508379731888176,4.516370210332867,0 to 1
other_noincome,-0.09647242476126773,0.026291140632429905,0.0002431307856883115,0.9080349365346732,-4.210245426649382,0 to 1
other_selfintel,-0.1858034406335266,0.03314899000256651,2.081334284081533e-08,0.8304368090738657,-3.9904278921055787,+1 sd
self_optimism,0.16146877545894758,0.02611705726209558,6.309325585576956e-10,1.1752357613881805,3.546915237592775,+1 sd
raceclash,-0.15570316225731645,0.029764630701686633,1.6846136448247768e-07,0.855813190326342,-3.3524094953446117,+1 sd
self_fit,0.1371427938899621,0.07619453137488033,0.07187589726820223,1.1469919202653673,3.0092150930012647,+1 sd
self_field=business,-0.05778170702812877,0.03816696895674126,0.13004633437104918,0.9438559620731861,-2.9748395533925085,0 to 1
self_field=journalism,-0.02602003846620811,0.02811280372825566,0.35467557943253636,0.9743155656235969,-2.907968402128789,0 to 1
self_goal=meet people,0.06168629247078004,0.025750252116711878,0.016594965397169446,1.063628624077763,2.804662371007557,0 to 1
self_wantshar,0.127170111059076,0.049200169582527556,0.009744978477474424,1.1356101812020254,2.789065325153135,+1 sd
other_wantshar,-0.12624152372937592,0.028918339105678863,1.2686211646040305e-05,0.8814019415896109,-2.7245093189555583,+1 sd
other_selfamb,-0.11931650962496113,0.033773785400724406,0.00041116127997442077,0.8875268455127591,-2.576448660388534,+1 sd
other_race=White,0.058571121565942096,0.04204607178196298,0.1636130045768358,1.0603203946598323,2.574795050892271,0 to 1
other_field=rare,0.039312266573199715,0.031410981414868755,0.21073559232309347,1.0400952199155031,2.543036719202064,0 to 1
other_field=journalism,-0.02238792362068719,0.027195479380224544,0.41038162037331394,0.9778608261529218,-2.5041375364425558,0 to 1
self_selfattr,-0.11401504483603395,0.029086078374100616,8.857906860289124e-05,0.8922445321087416,-2.462982256898876,+1 sd
self_datefreq,-0.1137687048896043,0.027012607655831942,2.534682553033908e-05,0.8924643546534087,-2.4577074117171422,+1 sd
other_datefreq,-0.11230486061873178,0.02686932505785321,2.9193486537344193e-05,0.8937717401568557,-2.426357799924232,+1 sd
self_selfintel,0.11000842026400172,0.02851106667863338,0.00011411012407583803,1.1162874698544965,2.4106368953117405,+1 sd
other_wantsinc,-0.10810922965498232,0.031790839979861686,0.0006722808719040539,0.8975295542324294,-2.3364618231632157,+1 sd
other_field=hard science,0.03420198042133998,0.030827247621832914,0.26722644427575415,1.0347935936678212,2.3130479890541236,0 to 1
self_noincome,0.05218845230973129,0.026247423597406398,0.04677557321902408,1.0535742723111683,2.2768142708838153,0 to 1
self_goal=other,-0.021352620540041473,0.025520929909043973,0.4027775553539761,0.9788737327208519,-2.1216000144166927,0 to 1
self_racepref,-0.09299245308013797,0.02904015487642591,0.0013638114627013119,0.9112003770264151,-2.012052236490819,+1 sd
self_field=law,0.023761549571295996,0.03053975715208418,0.4365377708167698,1.0240461045427491,1.923524583918921,0 to 1
self_income,0.08328230097923069,0.024762809458561193,0.0007704429686053724,1.0868485836641868,1.82244784866983,+1 sd
other_age,-0.08331136320460766,0.03922421167396021,0.03367198208885676,0.9200646283455941,-1.803877631390926,+1 sd
other_goal=other,0.01703241562075639,0.02590549946485634,0.5108706436402015,1.0171782942566634,1.7096265786737532,0 to 1
other_goal=relationship,-0.014579731425886897,0.02598690519672691,0.5747692687683682,0.9855260382034806,-1.6995724620400152,0 to 1
other_selffun,0.0739795867989344,0.03628157189906889,0.04144600687523197,1.076784824646741,1.6180631463335953,+1 sd
self_selfsinc,-0.07107119583784349,0.027924123807267325,0.010922954886891831,0.9313955782784258,-1.5402214315654597,+1 sd
other_goal=fun night,0.033585760034124536,0.026562180096910522,0.20607920631954768,1.0341561291883192,1.4896279607581286,0 to 1
agegap,-0.06810917917584602,0.02677127562864999,0.010955529880264476,0.9341584773567159,-1.4763441654177112,+1 sd
self_wantattr,-0.06767784955969001,0.04478335250170094,0.13073040882470435,0.9345614944845462,-1.4670399412672932,+1 sd
outgap,-0.06732352642062595,0.027793570238979225,0.015423893549193338,0.9348926899185583,-1.4593963708672144,+1 sd
other_goal=did it,-0.015976889050851362,0.025424792857357117,0.5297432451647832,0.9841500644345558,-1.4482346565320101,0 to 1
other_outfreq,-0.06654734297678902,0.029660836347612955,0.024857518447196227,0.935618619837184,-1.4426508635733017,+1 sd
self_field=engineering,0.01994769404474231,0.03190578556439866,0.531835751869496,1.0201479788166772,1.4364681183873877,0 to 1
self_wantsinc,0.05861702896119567,0.0342154761952449,0.08668072286711,1.060369072324609,1.280961541955037,+1 sd
other_selfattr,0.0551825462321039,0.03944987229538228,0.16187247311363773,1.0567334997884577,1.2056724478453262,+1 sd
other_religpref,-0.055058410032951303,0.049019613917949276,0.26135620345604627,0.9464298653393494,-1.194558726432272,+1 sd
self_outfreq,0.05028470484638432,0.028954660360929984,0.08244534547486236,1.0515704409624314,1.0983523141729523,+1 sd
self_field=hard science,0.016125270493900064,0.03189984786792461,0.6132099569809915,1.0162559843216141,1.0884331488183447,0 to 1
passions,0.04721919073434103,0.025548639083064238,0.06457230615228353,1.0483517728926344,1.0312107006354772,+1 sd
other_selfsinc,0.03864261570274431,0.03421603095814208,0.2587410825405366,1.0393989524002232,0.84348557190136,+1 sd
self_religpref,-0.0379935926475027,0.04864698637796538,0.434798912561821,0.9627191093521272,-0.8252897919941773,+1 sd
olderwoman,0.01841271803488253,0.02451464437105188,0.4525981549255854,1.0185832773395245,0.8234046799079795,0 to 1
agediff,0.03585304674881069,0.03686806563702607,0.33081733604096,1.0365035177367945,0.7824661644519162,+1 sd
other_optimism,-0.03283509464322641,0.026078567420701113,0.20800016381374054,0.9676981250366302,-0.7134873639479641,+1 sd
other_wantattr,0.03230894762822174,0.038084487669520335,0.3962434813610217,1.0328365484207491,0.7049701145240571,+1 sd
other_wantamb,0.02789203801891374,0.03266359251750977,0.3931502824924007,1.0282846627791604,0.608433423053421,+1 sd
samecareer,0.00838078413624003,0.026012926259496597,0.7473180953200278,1.008416001221123,0.4770140785838849,0 to 1
self_wantamb,0.019777987069143733,0.03502196768450675,0.5722568184965825,1.0199748672780626,0.43122194504962097,+1 sd
