,mean,std,dropped by the lasso (%),sign changes (%)
female,-0.2875049452890233,0.04122067680087759,0.0,0.0
self_optimism,0.15787676944496984,0.022785408655659173,0.0,0.0
other_selfintel,-0.1396006708271846,0.03430937325567483,0.0,0.0
raceclash,-0.13781524740537449,0.027745448707397397,0.0,0.0
self_race_2.0,-0.1349720471253917,0.026987058090386866,0.0,0.0
other_race_4.0,-0.11947317941023176,0.04054718974792971,0.0,0.0
other_wantshar,-0.11669259160986827,0.027105179978271728,0.0,0.0
other_datefreq,-0.09734191314016538,0.03069803814414047,0.0,0.0
self_racepref,-0.09701430061540454,0.0307211460435118,0.0,0.0
other_field_11.0,-0.09635503299452719,0.032045245732995664,0.0,0.0
other_field_8.0,0.09552959082814393,0.03921253624923096,0.0,0.0
self_race_1.0,0.09524701339245972,0.02720040888987631,0.0,0.0
self_selfintel,0.0937050413184054,0.03305698667881575,0.0,0.0
self_selfattr,-0.09175526251138207,0.031708928174605064,0.0,0.0
self_datefreq,-0.09060109652541022,0.029705937161087864,0.0,0.0
other_selffun,0.08802847865417482,0.03244907842438074,0.0,0.0
other_wantsinc,-0.08728612198238579,0.02383594000043492,0.0,0.0
self_field_3.0,0.0861671619209978,0.02763820706943575,0.0,0.0
self_wantattr,-0.0834873553629378,0.04611218916725505,0.0,0.0
samefield,0.08167557505466252,0.023739103349029077,0.0,0.0
other_noincome,-0.07906507959000669,0.025881344099200107,0.0,0.0
other_selfattr,0.07774045912273031,0.03121467475965113,0.0,0.0
other_outfreq,-0.07379420169827959,0.03025311299045008,0.0,0.0
other_age,-0.07368006793107178,0.03370983420505116,4.0,0.0
other_selfamb,-0.07346351476409976,0.02813475512295838,4.0,0.0
other_field_9.0,-0.07233371805935297,0.039206928793204414,4.0,0.0
self_income,0.0708339486857101,0.01869444584527484,0.0,0.0
self_field_9.0,0.06813142869003759,0.03135174982777504,0.0,0.0
self_wantshar,0.06717697497575983,0.0427023949174961,4.0,0.0
self_goal_4.0,0.05742369747436018,0.024421232362973878,4.0,0.0
self_fit,0.05182758756531207,0.056368283878509874,36.0,0.0
other_field_3.0,-0.05133853727570717,0.02446090325945752,0.0,0.0
outgap,-0.05059520270396623,0.023384325465708247,4.0,0.0
other_field_infrequent_sklearn,0.04809459283112821,0.027242734446675652,0.0,0.0
self_field_13.0,-0.04789843603374397,0.023626485795141445,0.0,0.0
other_field_5.0,-0.0474116679382936,0.02762559591531926,4.0,0.0
self_field_8.0,-0.046562198840076306,0.029130967390109338,4.0,0.0
agegap,-0.04645085416197341,0.02503345154213981,0.0,0.0
self_selfsinc,-0.04626170113794434,0.031005907006142443,4.0,0.0
self_wantsinc,0.04376583601118778,0.028781916636251178,12.0,0.0
self_noincome,0.04363319150710218,0.023068356661768617,4.0,0.0
self_goal_infrequent_sklearn,-0.04267666269830969,0.027634334558939815,20.0,0.0
self_goal_2.0,0.03838677533694984,0.026608713779147697,16.0,0.0
other_selfsinc,0.03658916879666695,0.026796593817207125,12.0,0.0
self_race_6.0,0.03628978626337376,0.021641614227369182,4.0,0.0
other_religpref,-0.035765534913591496,0.030505518869285507,24.0,0.0
self_outfreq,0.035540437602223175,0.025395251456189216,8.0,0.0
other_optimism,-0.030455944601290627,0.024023874761465863,16.0,0.0
passions,0.029190375281864682,0.029267788833339775,20.0,0.0
