wave,pairs,match rate,PR-AUC,distance to the full model
1,100,0.31,0.45942131928968755,0.0791763303441884
2,304,0.10197368421052631,0.2615344291080539,0.15142087884865085
3,100,0.13,0.2856392806177023,0.07373878634074182
4,324,0.2006172839506173,0.3273814464757826,0.14911325880212845
5,90,0.3,0.42940058230176037,0.07772382460608035
6,25,0.2,0.2909035409035409,0.02305665295727924
7,256,0.16796875,0.30801933214600213,0.08627911409163676
8,100,0.18,0.3222715250841698,0.06931912301546823
9,400,0.155,0.2607550679358777,0.15748251476353176
10,81,0.18518518518518517,0.2967778580294758,0.054806251528832985
11,441,0.14512471655328799,0.16822701282474645,0.1990989592425268
12,196,0.10714285714285714,0.12647600924450303,0.09492762220366953
13,90,0.17777777777777778,0.1794153822347725,0.05383745429771353
14,360,0.175,0.1889746994985208,0.1382111796341691
15,342,0.18421052631578946,0.1784693303378326,0.17017944816568253
16,48,0.25,0.4318147277948531,0.05107695882707481
17,140,0.17142857142857143,0.4465773695129969,0.09441846050987372
18,36,0.08333333333333333,0.10252525252525252,0.03987557661462396
19,225,0.16444444444444445,0.35129979122891763,0.10580780800075079
20,42,0.11904761904761904,0.2225814536340852,0.03576340970908146
21,484,0.1487603305785124,0.16244797810426395,0.17537108059928472
